order_id,order_date,order_time,outlet,item_name,category,size,quantity,unit_price,total_amount,payment_method,order_type
SBX-PAT-5214,2025-07-01,14:03,P&M Mall,Cold Brew,Cold Beverages,Tall,3,245,735,Starbucks App Wallet,Delivery
SBX-PAT-5089,2025-07-01,21:02,P&M Mall,Americano,Hot Beverages,Grande,1,225,225,UPI,Dine-in
SBX-PAT-5194,2025-07-02,09:27,P&M Mall,Hot Chocolate,Hot Beverages,Tall,1,235,235,Credit/Debit Card,Dine-in
SBX-PAT-5018,2025-07-02,13:08,P&M Mall,Starbucks Tumbler,Merchandise,Regular,1,1495,1495,Credit/Debit Card,Delivery
SBX-PAT-5090,2025-07-04,10:36,P&M Mall,Butter Croissant,Bakery,Regular,2,175,350,Credit/Debit Card,Delivery
SBX-PAT-5243,2025-07-04,17:12,P&M Mall,City Mug - Patna,Merchandise,Regular,1,895,895,Starbucks App Wallet,Dine-in
SBX-PAT-5052,2025-07-04,21:47,P&M Mall,Cappuccino,Hot Beverages,Short,3,185,555,Cash,Delivery
SBX-PAT-5045,2025-07-05,10:59,P&M Mall,Iced Caffe Latte,Cold Beverages,Grande,1,265,265,Credit/Debit Card,Delivery
SBX-PAT-5055,2025-07-05,18:21,P&M Mall,Iced Caffe Latte,Cold Beverages,Tall,2,235,470,Credit/Debit Card,Takeaway
SBX-PAT-5136,2025-07-05,19:17,P&M Mall,Americano,Hot Beverages,Grande,1,225,225,Starbucks App Wallet,Dine-in
SBX-PAT-5072,2025-07-05,20:05,P&M Mall,Chocolate Cake Pop,Bakery,Regular,2,145,290,Credit/Debit Card,Takeaway
SBX-PAT-5157,2025-07-05,21:23,P&M Mall,Cappuccino,Hot Beverages,Tall,2,215,430,Cash,Dine-in
SBX-PAT-5169,2025-07-06,13:00,P&M Mall,Java Chip Frappuccino,Cold Beverages,Tall,1,285,285,Credit/Debit Card,Takeaway
SBX-PAT-5111,2025-07-06,21:09,P&M Mall,Hot Chocolate,Hot Beverages,Grande,1,265,265,Starbucks App Wallet,Dine-in
SBX-PAT-5253,2025-07-07,15:24,P&M Mall,Americano,Hot Beverages,Short,1,165,165,Cash,Dine-in
SBX-PAT-5134,2025-07-07,19:08,P&M Mall,Chocolate Cake Pop,Bakery,Regular,1,145,145,Cash,Takeaway
SBX-PAT-5237,2025-07-07,20:46,P&M Mall,Cappuccino,Hot Beverages,Tall,1,215,215,Starbucks App Wallet,Delivery
SBX-PAT-5025,2025-07-08,15:47,P&M Mall,Hot Chocolate,Hot Beverages,Grande,1,265,265,Credit/Debit Card,Dine-in
SBX-PAT-5190,2025-07-09,12:11,P&M Mall,Starbucks Tumbler,Merchandise,Regular,1,1495,1495,UPI,Delivery
SBX-PAT-5119,2025-07-09,17:58,P&M Mall,Mango Dragonfruit Refresher,Cold Beverages,Grande,2,285,570,Starbucks App Wallet,Takeaway
SBX-PAT-5096,2025-07-09,19:28,P&M Mall,Espresso,Hot Beverages,Doppio,3,175,525,Starbucks App Wallet,Takeaway
SBX-PAT-5233,2025-07-10,09:18,P&M Mall,Hot Chocolate,Hot Beverages,Tall,2,235,470,UPI,Delivery
SBX-PAT-5028,2025-07-10,11:03,P&M Mall,Blueberry Muffin,Bakery,Regular,1,195,195,Starbucks App Wallet,Delivery
SBX-PAT-5037,2025-07-10,15:02,P&M Mall,Mango Dragonfruit Refresher,Cold Beverages,Grande,1,285,285,UPI,Delivery
SBX-PAT-5211,2025-07-10,16:55,P&M Mall,Hot Chocolate,Hot Beverages,Tall,1,235,235,Cash,Delivery
SBX-PAT-5176,2025-07-11,08:04,P&M Mall,Mango Dragonfruit Refresher,Cold Beverages,Grande,1,285,285,Credit/Debit Card,Takeaway
SBX-PAT-5227,2025-07-11,15:15,P&M Mall,Cheese Danish,Bakery,Regular,1,185,185,Starbucks App Wallet,Delivery
SBX-PAT-5179,2025-07-11,16:03,P&M Mall,Starbucks Tumbler,Merchandise,Regular,2,1495,2990,UPI,Dine-in
SBX-PAT-5093,2025-07-11,16:57,P&M Mall,Club Sandwich,Food,Regular,1,345,345,Starbucks App Wallet,Dine-in
SBX-PAT-5148,2025-07-11,18:43,P&M Mall,Cold Brew,Cold Beverages,Tall,1,245,245,Starbucks App Wallet,Delivery
SBX-PAT-5114,2025-07-11,18:58,P&M Mall,Iced Caffe Latte,Cold Beverages,Tall,1,235,235,Starbucks App Wallet,Dine-in
SBX-PAT-5198,2025-07-11,20:05,P&M Mall,Americano,Hot Beverages,Short,3,165,495,Cash,Dine-in
SBX-PAT-5034,2025-07-11,20:20,P&M Mall,Java Chip Frappuccino,Cold Beverages,Venti,1,345,345,Credit/Debit Card,Delivery
